precatalyst_SMILES,base_SMILES,base_concentration,base_equivalents,temperature,t_res,yld
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,2.50,2.7,65,1325,62
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,C1CCC2=NCCCN2CC1,1.75,1.9,65,375,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,C1CCC2=NCCCN2CC1,2.50,2.7,100,1296,21
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,CCN(CC)CC,0.96,1.1,30,595,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,0.99,1.1,65,1347,55
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,C1CCC2=NCCCN2CC1,1.00,1.1,30,76,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,C1CCC2=NCCCN2CC1,2.50,2.7,30,75,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,2.50,2.7,100,78,99
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,CN(C)C(=N)N(C)C,0.99,1.1,100,374,7
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,CN(C)C(=N)N(C)C,2.50,2.7,100,343,6
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,0.99,1.1,100,76,47
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,CN(C)C(=N)N(C)C,0.99,1.1,30,1110,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.75,1.9,30,73,23
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,CCN(CC)CC,2.55,2.8,30,335,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,C1CCC2=NCCCN2CC1,1.00,1.1,100,1301,42
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,CN(C)C(=N)N(C)C,2.50,2.7,30,1119,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,CCN(CC)CC,2.55,2.8,65,75,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,CCN(CC)CC,0.96,1.1,65,75,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,CCN(CC)CC,1.75,1.9,100,1307,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C(=CC=C2)OC(C)C)P(C3CCCCC3)C4CCCCC4)C(C)C,C1CCC2=NCCCN2CC1,2.50,2.7,100,579,43
