precatalyst_SMILES,base_SMILES,base_concentration,base_equivalents,temperature,t_res,yld
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN1CCCN2C1=NCCC2,2.00,2.1,30,83,2
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN1CCCN2C1=NCCC2,2.00,2.1,65,1402,7
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,1.00,1.0,100,497,15
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN(C)C(=N)N(C)C,0.99,1.0,100,80,4
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN1CCCN2C1=NCCC2,1.01,1.0,30,77,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN1CCCN2C1=NCCC2,1.50,1.6,100,78,9
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,2.00,2.1,30,475,9
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,1.50,1.6,30,1414,2
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN(C)C(=N)N(C)C,1.51,1.6,65,497,2
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,0.99,1.0,100,1378,26
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,0.99,1.0,30,484,8
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN(C)C(=N)N(C)C,0.99,1.0,30,1607,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,2.01,2.1,65,79,3
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN1CCCN2C1=NCCC2,1.01,1.0,65,1668,16
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,2.00,2.1,100,1442,24
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,2.01,2.1,100,464,15
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,1.00,1.0,48,79,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN(C)C(=N)N(C)C,2.00,2.1,100,80,4
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN(C)C(=N)N(C)C,2.00,2.1,30,1331,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,2.00,2.1,100,323,21
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN(C)C(=N)N(C)C,0.99,1.0,100,395,8
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,2.01,2.1,100,312,12
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN1CCCN2C1=NCCC2,1.01,1.0,100,417,12
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,2.00,2.1,100,1554,23
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN1CCCN2C1=NCCC2,2.00,2.1,100,1515,5
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,2.01,2.1,100,1652,10
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,1.40,1.5,81,542,11
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.41,1.5,81,629,20
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN1CCCN2C1=NCCC2,1.38,1.4,81,591,8
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,1.00,1.0,100,1833,11
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN1CCCN2C1=NCCC2,1.01,1.0,100,1454,9
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,2.00,2.1,100,334,17
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,2.00,2.1,30,89,2
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,2.00,2.1,65,1461,90
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,C1CCC2=NCCCN2CC1,1.00,1.0,100,500,56
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN(C)C(=N)N(C)C,0.99,1.0,100,75,4
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,1.01,1.0,30,79,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,1.50,1.6,100,77,70
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,2.00,2.1,30,526,5
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,C1CCC2=NCCCN2CC1,1.50,1.6,30,1742,2
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN(C)C(=N)N(C)C,1.51,1.6,65,423,2
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,0.99,1.0,100,1719,94
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,0.99,1.0,30,490,3
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN(C)C(=N)N(C)C,0.99,1.0,30,1601,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,C1CCC2=NCCCN2CC1,2.01,2.1,65,83,3
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,1.01,1.0,65,1597,51
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,2.00,2.1,100,1438,90
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,C1CCC2=NCCCN2CC1,2.01,2.1,100,466,90
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,C1CCC2=NCCCN2CC1,1.00,1.0,48,75,1
