precatalyst_SMILES,base_SMILES,base_concentration,base_equivalents,temperature,t_res,yld
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,30,79,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,65,1748,2
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,0.99,1.1,100,500,3
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,C1CCC2=NCCCN2CC1,1.00,1.1,100,93,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.00,1.1,30,95,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.40,1.5,100,93,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,1.80,2.0,30,378,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.40,1.5,30,1299,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,C1CCC2=NCCCN2CC1,1.40,1.5,65,403,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,1.01,1.1,100,1277,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,1.01,1.1,30,398,0
