precatalyst_SMILES,base_SMILES,base_concentration,base_equivalents,temperature,t_res,yld
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,30,80,14
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,65,1491,95
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,0.99,1.1,100,520,11
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,1.00,1.1,100,79,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.00,1.1,30,76,10
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.40,1.5,100,80,99
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN1CCCN2C1=NCCC2,1.80,2.0,30,528,3
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.40,1.5,30,1414,2
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,1.40,1.5,65,724,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN1CCCN2C1=NCCC2,1.01,1.1,100,1431,4
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN1CCCN2C1=NCCC2,1.01,1.1,30,477,2
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,1.00,1.1,30,1390,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.80,2.0,65,77,3
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.00,1.1,65,1671,82
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN1CCCN2C1=NCCC2,1.80,2.0,100,1565,2
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.80,2.0,100,516,21
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,0.99,1.1,48,80,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,1.80,2.0,100,79,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,1.80,2.0,30,1578,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,100,791,94
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,100,285,100
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,1.80,2.0,100,284,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CN1CCCN2C1=NCCC2,1.01,1.1,100,331,5
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.80,2.0,100,290,21
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,100,1362,101
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.00,1.1,100,310,83
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.35,1.5,69,430,91
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.34,1.5,96,1657,97
