max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,subsample,test_acc,test_loss,seed_count,seeds,row_id
1.0,0.0,1.0,12.0,170.0,1.0,0.528975012748597,0.471024987251403,5,1319;665;7222;7541;8916,hpo_000001
1.0,0.0,1.0,12.0,18.0,1.0,0.535033146353901,0.464966853646099,5,1319;665;7222;7541;8916,hpo_000002
1.0,0.0,1.0,12.0,512.0,1.0,0.529362570117287,0.470637429882713,5,1319;665;7222;7541;8916,hpo_000003
1.0,0.0,1.0,12.0,56.0,1.0,0.532279449260581,0.467720550739419,5,1319;665;7222;7541;8916,hpo_000004
1.0,0.0,1.0,128.0,170.0,1.0,0.528975012748597,0.471024987251403,5,1319;665;7222;7541;8916,hpo_000005
1.0,0.0,1.0,128.0,18.0,1.0,0.535033146353901,0.464966853646099,5,1319;665;7222;7541;8916,hpo_000006
1.0,0.0,1.0,128.0,512.0,1.0,0.529362570117287,0.470637429882713,5,1319;665;7222;7541;8916,hpo_000007
1.0,0.0,1.0,128.0,56.0,1.0,0.532279449260581,0.467720550739419,5,1319;665;7222;7541;8916,hpo_000008
1.0,0.0,1.0,2.0,170.0,1.0,0.528975012748597,0.471024987251403,5,1319;665;7222;7541;8916,hpo_000009
1.0,0.0,1.0,2.0,18.0,1.0,0.535033146353901,0.464966853646099,5,1319;665;7222;7541;8916,hpo_000010
1.0,0.0,1.0,2.0,512.0,1.0,0.529362570117287,0.470637429882713,5,1319;665;7222;7541;8916,hpo_000011
1.0,0.0,1.0,2.0,56.0,1.0,0.532279449260581,0.467720550739419,5,1319;665;7222;7541;8916,hpo_000012
1.0,0.0,1.0,20.0,170.0,1.0,0.528975012748597,0.471024987251403,5,1319;665;7222;7541;8916,hpo_000013
1.0,0.0,1.0,20.0,18.0,1.0,0.535033146353901,0.464966853646099,5,1319;665;7222;7541;8916,hpo_000014
1.0,0.0,1.0,20.0,512.0,1.0,0.529362570117287,0.470637429882713,5,1319;665;7222;7541;8916,hpo_000015
1.0,0.0,1.0,20.0,56.0,1.0,0.532279449260581,0.467720550739419,5,1319;665;7222;7541;8916,hpo_000016
1.0,0.0,1.0,3.0,170.0,1.0,0.528975012748597,0.471024987251403,5,1319;665;7222;7541;8916,hpo_000017
