colsample_bytree,eta,max_depth,reg_lambda,n_estimators,subsample,test_acc,test_loss,seed_count,seeds,row_id
0.1,0.0009765625,1.0,0.0009765625,2000.0,1.0,0.699949005609383,0.300050994390617,5,1319;665;7222;7541;8916,hpo_000001
0.1,0.0009765625,1.0,0.0009765625,222.0,1.0,0.679020907700153,0.320979092299847,5,1319;665;7222;7541;8916,hpo_000002
0.1,0.0009765625,1.0,0.0009765625,666.0,1.0,0.694135645079041,0.305864354920959,5,1319;665;7222;7541;8916,hpo_000003
0.1,0.0009765625,1.0,0.0009765625,74.0,1.0,0.646751657317695,0.353248342682305,5,1319;665;7222;7541;8916,hpo_000004
0.1,0.0009765625,1.0,0.004556754,2000.0,1.0,0.699602243753187,0.300397756246813,5,1319;665;7222;7541;8916,hpo_000005
0.1,0.0009765625,1.0,0.004556754,222.0,1.0,0.679020907700153,0.320979092299847,5,1319;665;7222;7541;8916,hpo_000006
0.1,0.0009765625,1.0,0.004556754,666.0,1.0,0.694135645079041,0.305864354920959,5,1319;665;7222;7541;8916,hpo_000007
0.1,0.0009765625,1.0,0.004556754,74.0,1.0,0.646751657317695,0.353248342682305,5,1319;665;7222;7541;8916,hpo_000008
0.1,0.0009765625,1.0,0.021262344,2000.0,1.0,0.699765425803162,0.300234574196838,5,1319;665;7222;7541;8916,hpo_000009
0.1,0.0009765625,1.0,0.021262344,222.0,1.0,0.67910249872514,0.32089750127486,5,1319;665;7222;7541;8916,hpo_000010
0.1,0.0009765625,1.0,0.021262344,666.0,1.0,0.694115247322795,0.305884752677205,5,1319;665;7222;7541;8916,hpo_000011
0.1,0.0009765625,1.0,0.021262344,74.0,1.0,0.646812850586435,0.353187149413565,5,1319;665;7222;7541;8916,hpo_000012
0.1,0.0009765625,1.0,0.099212565,2000.0,1.0,0.699622641509434,0.300377358490566,5,1319;665;7222;7541;8916,hpo_000013
0.1,0.0009765625,1.0,0.099212565,222.0,1.0,0.679061703212646,0.320938296787354,5,1319;665;7222;7541;8916,hpo_000014
0.1,0.0009765625,1.0,0.099212565,666.0,1.0,0.694278429372769,0.305721570627231,5,1319;665;7222;7541;8916,hpo_000015
0.1,0.0009765625,1.0,0.099212565,74.0,1.0,0.646894441611423,0.353105558388577,5,1319;665;7222;7541;8916,hpo_000016
0.1,0.0009765625,1.0,0.46293736,2000.0,1.0,0.699989801121877,0.300010198878123,5,1319;665;7222;7541;8916,hpo_000017
0.1,0.0009765625,1.0,0.46293736,222.0,1.0,0.679367669556349,0.320632330443651,5,1319;665;7222;7541;8916,hpo_000018
0.1,0.0009765625,1.0,0.46293736,666.0,1.0,0.694115247322795,0.305884752677205,5,1319;665;7222;7541;8916,hpo_000019
0.1,0.0009765625,1.0,0.46293736,74.0,1.0,0.646894441611423,0.353105558388577,5,1319;665;7222;7541;8916,hpo_000020
0.1,0.0009765625,1.0,10.079369,2000.0,1.0,0.700214176440592,0.299785823559408,5,1319;665;7222;7541;8916,hpo_000021
0.1,0.0009765625,1.0,10.079369,222.0,1.0,0.679286078531361,0.320713921468639,5,1319;665;7222;7541;8916,hpo_000022
0.1,0.0009765625,1.0,10.079369,666.0,1.0,0.694217236104029,0.305782763895971,5,1319;665;7222;7541;8916,hpo_000023
