precatalyst_scaffold_SMILES,ligand_SMILES,t_res,temperature,catalyst_loading,yld
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(c1ccccc1)(c2ccccc2)c3ccccc3,600,110,2.49,0.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,60,110,0.51,0.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,60,110,0.498,0.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)(C)P(C(C)(C)C)C(C)(C)C,600,110,2.489,5.7
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,60,110,2.516,6.4
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,60,110,2.516,11
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,600,110,0.512,0.1
Cl[Pd](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,600,110,0.507,0.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,600,30,2.492,0.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,600,30,2.516,0.5
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)(C)P(C(C)(C)C)C(C)(C)C,60,30,0.509,0.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(c1ccccc1)(c2ccccc2)c3ccccc3,60,30,0.492,0.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,600,30,0.509,0.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,60,30,2.505,0.1
Cl[Pd](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,60,30,2.509,0.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,600,30,0.492,0.1
Cl[Pd](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,60,65.3,1.121,0.4
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,189.7,65.3,2.516,1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,60,65.3,2.492,0.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,189.7,65.3,1.131,5.9
