pool,descriptor_name,unit,scale_type,allowed_entity_kinds,description,preferred,requires_source,default_enabled
rdkit_2d,MolWt,g/mol,continuous,molecule|salt|ligand|solvent|substrate,RDKit molecular weight,true,true,true
rdkit_2d,ExactMolWt,g/mol,continuous,molecule|salt|ligand|solvent|substrate,RDKit exact molecular weight,false,true,true
rdkit_2d,MolLogP,,continuous,molecule|salt|ligand|solvent|substrate,RDKit Crippen logP,true,true,true
rdkit_2d,TPSA,A^2,continuous,molecule|salt|ligand|solvent|substrate,RDKit topological polar surface area,true,true,true
rdkit_2d,NumHAcceptors,,integer_count,molecule|salt|ligand|solvent|substrate,RDKit hydrogen-bond acceptor count,true,true,true
rdkit_2d,NumHDonors,,integer_count,molecule|salt|ligand|solvent|substrate,RDKit hydrogen-bond donor count,true,true,true
rdkit_2d,NumRotatableBonds,,integer_count,molecule|salt|ligand|solvent|substrate,RDKit rotatable bond count,true,true,true
rdkit_2d,HeavyAtomCount,,integer_count,molecule|salt|ligand|solvent|substrate,RDKit heavy atom count,true,true,true
rdkit_2d,NHOHCount,,integer_count,molecule|salt|ligand|solvent|substrate,RDKit N/O-H count,false,true,true
rdkit_2d,NOCount,,integer_count,molecule|salt|ligand|solvent|substrate,RDKit nitrogen plus oxygen count,false,true,true
rdkit_2d,RingCount,,integer_count,molecule|salt|ligand|solvent|substrate,RDKit ring count,true,true,true
rdkit_2d,NumAromaticRings,,integer_count,molecule|salt|ligand|solvent|substrate,RDKit aromatic ring count,true,true,true
rdkit_2d,FractionCSP3,,continuous,molecule|salt|ligand|solvent|substrate,RDKit fraction of sp3 carbons,true,true,true
rdkit_2d,FormalCharge,e,integer_state,molecule|salt|ligand|solvent|substrate,Total formal charge,true,true,true
rdkit_2d,NumValenceElectrons,,integer_count,molecule|salt|ligand|solvent|substrate,RDKit valence electron count,false,true,true
rdkit_2d,BertzCT,,continuous,molecule|salt|ligand|solvent|substrate,RDKit Bertz complexity,true,true,true
rdkit_2d,LabuteASA,A^2,continuous,molecule|salt|ligand|solvent|substrate,RDKit Labute approximate surface area,false,true,true
rdkit_substructure_counts,aryl_halide_count,,integer_count,molecule|substrate,SMARTS count of aryl halide motifs,true,true,true
rdkit_substructure_counts,aryl_bromide_count,,integer_count,molecule|substrate,SMARTS count of aryl bromide motifs,true,true,true
rdkit_substructure_counts,aryl_chloride_count,,integer_count,molecule|substrate,SMARTS count of aryl chloride motifs,true,true,true
rdkit_substructure_counts,aryl_iodide_count,,integer_count,molecule|substrate,SMARTS count of aryl iodide motifs,true,true,true
rdkit_substructure_counts,boronic_acid_group_count,,integer_count,molecule|substrate,SMARTS count of boronic acid motifs,true,true,true
rdkit_substructure_counts,boronate_ester_group_count,,integer_count,molecule|substrate,SMARTS count of boronate ester motifs,true,true,true
rdkit_substructure_counts,trifluoroborate_group_count,,integer_count,molecule|substrate,SMARTS count of trifluoroborate motifs,true,true,true
rdkit_substructure_counts,phosphine_donor_count,,integer_count,molecule|ligand,SMARTS count of phosphine donor atoms,true,true,true
solvent_physchem,dielectric_constant_25C,,continuous,solvent,Dielectric constant at 25 C,true,true,true
solvent_physchem,dipole_moment_D,D,continuous,solvent,Dipole moment,true,true,true
solvent_physchem,donor_number_kcal_mol,kcal/mol,continuous,solvent,Gutmann donor number,true,true,true
solvent_physchem,acceptor_number,,continuous,solvent,Gutmann acceptor number,true,true,true
solvent_physchem,ET30_kcal_mol,kcal/mol,continuous,solvent,ET30 solvent polarity scale,false,true,true
solvent_physchem,normalized_Reichardt_ETN,,continuous,solvent,Normalized Reichardt polarity,true,true,true
solvent_physchem,boiling_point_C,C,continuous,solvent,Boiling point,true,true,true
solvent_physchem,melting_point_C,C,continuous,solvent,Melting point,false,true,true
solvent_physchem,density_g_mL_20C,g/mL,continuous,solvent,Density at 20 C,true,true,true
solvent_physchem,viscosity_cP_25C,cP,continuous,solvent,Viscosity at 25 C,true,true,true
solvent_physchem,vapor_pressure_kPa_25C,kPa,continuous,solvent,Vapor pressure at 25 C,false,true,true
solvent_physchem,water_volume_fraction,,continuous,solvent,Water volume fraction for explicit mixtures,true,true,true
base_reagent_physchem,formula_weight_g_mol,g/mol,continuous,base|salt,Formula weight,true,true,true
base_reagent_physchem,pKa_conjugate_acid_water,,continuous,base|salt,Conjugate acid pKa in water,true,true,true
base_reagent_physchem,pKa_conjugate_acid_DMSO,,continuous,base|salt,Conjugate acid pKa in DMSO,true,true,true
base_reagent_physchem,cation_charge,e,integer_state,base|salt,Cation charge,true,true,true
base_reagent_physchem,anion_charge,e,integer_state,base|salt,Anion charge,true,true,true
base_reagent_physchem,cation_radius_shannon_cn6_A,A,continuous,base|salt,Shannon cation radius in coordination number 6,true,true,true
base_reagent_physchem,cation_hydration_free_energy_kJ_mol,kJ/mol,continuous,base|salt,Cation hydration free energy,false,true,true
base_reagent_physchem,lattice_energy_kJ_mol,kJ/mol,continuous,base|salt,Lattice energy,false,true,true
base_reagent_physchem,aqueous_solubility_mol_L_25C,mol/L,continuous,base|salt,Aqueous solubility at 25 C,true,true,true
base_reagent_physchem,donor_atom_count,,integer_count,base|salt|molecule,Donor atom count,true,true,true
base_reagent_physchem,formal_charge,e,integer_state,base|salt|molecule,Formal charge,true,true,true
ligand_physchem,TEP_cm_minus_1,cm^-1,continuous,ligand,Tolman electronic parameter,true,true,true
ligand_physchem,tolman_cone_angle_deg,deg,continuous,ligand,Tolman cone angle,true,true,true
ligand_physchem,percent_Vbur,%,continuous,ligand,Buried volume percentage,true,true,true
ligand_physchem,buried_volume_A3,A^3,continuous,ligand,Buried volume,false,true,true
ligand_physchem,solid_angle_sr,sr,continuous,ligand,Solid angle,false,true,true
ligand_physchem,sterimol_L_A,A,continuous,ligand,Sterimol L,true,true,true
