entity_key,pool,descriptor_name,value,unit,source_id,source_tier,scale_type,curation_status,notes
mol:CsPiv,base_reagent_physchem,formula_weight_g_mol,234.04,g/mol,formula_calc,A,continuous,ready,CsOOCC(CH3)3
mol:CsPiv,base_reagent_physchem,pKa_conjugate_acid_water,5.03,,CRC_97,A,continuous,ready,pivalic acid pKa
mol:CsPiv,base_reagent_physchem,cation_charge,1,e,definition,A,integer_state,ready,Cs+
mol:CsPiv,base_reagent_physchem,anion_charge,-1,e,definition,A,integer_state,ready,pivalate
mol:CsPiv,base_reagent_physchem,cation_radius_shannon_cn6_A,1.67,A,Shannon_1976,A,continuous,ready,Cs+ CN6
mol:KPiv,base_reagent_physchem,formula_weight_g_mol,140.22,g/mol,formula_calc,A,continuous,ready,KOOCCH(CH3)3
mol:KPiv,base_reagent_physchem,pKa_conjugate_acid_water,5.03,,CRC_97,A,continuous,ready,pivalic acid pKa
mol:KPiv,base_reagent_physchem,cation_charge,1,e,definition,A,integer_state,ready,K+
mol:KPiv,base_reagent_physchem,anion_charge,-1,e,definition,A,integer_state,ready,pivalate
mol:KPiv,base_reagent_physchem,cation_radius_shannon_cn6_A,1.38,A,Shannon_1976,A,continuous,ready,K+ CN6
mol:CsOAc,base_reagent_physchem,formula_weight_g_mol,191.95,g/mol,formula_calc,A,continuous,ready,CsOOCCH3
mol:CsOAc,base_reagent_physchem,pKa_conjugate_acid_water,4.76,,CRC_97,A,continuous,ready,acetic acid pKa
mol:CsOAc,base_reagent_physchem,cation_charge,1,e,definition,A,integer_state,ready,Cs+
mol:CsOAc,base_reagent_physchem,anion_charge,-1,e,definition,A,integer_state,ready,acetate
mol:CsOAc,base_reagent_physchem,cation_radius_shannon_cn6_A,1.67,A,Shannon_1976,A,continuous,ready,Cs+ CN6
mol:KOAc,base_reagent_physchem,formula_weight_g_mol,98.14,g/mol,formula_calc,A,continuous,ready,KOOCCH3
