entity_key,pool,descriptor_name,value,unit,source_id,source_tier,scale_type,curation_status,notes
substrate:6_bromoquinoline,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_water,-9.0,,CRC_97,A,continuous,ready,HBr pKa
substrate:6_iodoquinoline,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_water,-10.0,,CRC_97,A,continuous,ready,HI pKa
substrate:6_chloroquinoline,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_water,-7.0,,CRC_97,A,continuous,ready,HCl pKa
substrate:6_triflatequinoline,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_water,-14.0,,estimated,B,continuous,ready,TfOH pKa approx
substrate:6_quinoline_boronic_acid,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_water,8.86,,CRC_97,A,continuous,ready,B(OH)3 pKa as proxy
substrate:6_quinoline_bpin,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_water,8.86,,CRC_97,A,continuous,ready,pinacol boronate hydrolysis
substrate:quinoline_6_bf3k,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_water,3.17,,CRC_97,A,continuous,ready,BF3.KF hydrolysis HF pKa
handle:boronic_acid,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_water,8.86,,CRC_97,A,continuous,ready,B(OH)3 pKa
handle:boronic_ester,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_water,8.86,,CRC_97,A,continuous,ready,pinacol boronate
handle:bromide,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_water,-9.0,,CRC_97,A,continuous,ready,HBr pKa
handle:trifluoroborate,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_water,3.17,,CRC_97,A,continuous,ready,HF pKa
substrate:6_bromoquinoline,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,80.0,kcal/mol,Buchwald_JACS_2002,A,continuous,ready,Ph-Br BDE 80 kcal/mol from Buchwald (PMC2645957); heteroaryl bromide BDE comparable; slightly lower due to quinoline N activation
substrate:6_bromoquinoline,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,0.9,,Izutsu_1990,B,continuous,ready,HBr pKa in DMSO; strong acid regime; approximate from Izutsu solvent effects monograph
substrate:6_bromoquinoline,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,3,,periodic_table_builtin,A,ordinal_semichemical,ready,Ordinal scale: ArI=4 ArOTf=4 ArBr=3 ArCl=2; Suzuki reactivity order I>OTf>Br>Cl
substrate:6_bromoquinoline,cross_coupling_substrate_physchem,protodeboronation_log_rate_proxy,,,,,,not_applicable,Not a boron nucleophile; protodeboronation not applicable to aryl halide electrophiles
substrate:6_iodoquinoline,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,65.0,kcal/mol,Buchwald_JACS_2002,A,continuous,ready,Ph-I BDE 65 kcal/mol; consistent across multiple sources; most reactive aryl halide
substrate:6_iodoquinoline,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,0.5,,Izutsu_1990,B,continuous,ready,HI pKa in DMSO; even more acidic than HBr; approximate
substrate:6_iodoquinoline,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,4,,periodic_table_builtin,A,ordinal_semichemical,ready,Aryl iodide highest OA reactivity; same tier as ArOTf
substrate:6_chloroquinoline,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,95.0,kcal/mol,Buchwald_JACS_2002,A,continuous,ready,Ph-Cl BDE 95-96 kcal/mol; strongest aryl C-X bond; explains reluctance to OA with Pd
substrate:6_chloroquinoline,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,1.8,,Izutsu_1990,B,continuous,ready,HCl pKa in DMSO; less acidic than HBr/HI in DMSO relative order
substrate:6_chloroquinoline,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,2,,periodic_table_builtin,A,ordinal_semichemical,ready,Aryl chloride lowest OA reactivity in standard halide series; requires bulky electron-rich phosphines
substrate:6_triflatequinoline,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,57.0,kcal/mol,estimated_DFT,B,continuous,ready,Ar-OTf C-O BDE estimated ~55-60 kcal/mol from DFT; weaker than Ar-I; exceptional leaving group ability driven by pKa not BDE
substrate:6_triflatequinoline,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,-4.0,,CRC_97,B,continuous,ready,TfOH (triflic acid) pKa in DMSO ~-4; superacid; strongest leaving group in this dataset
substrate:6_triflatequinoline,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,4,,periodic_table_builtin,A,ordinal_semichemical,ready,Triflate OA reactivity similar to iodide; I>OTf is context-dependent; here assigned 4
substrate:6_quinoline_boronic_acid,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,107.0,kcal/mol,estimated_DFT,B,continuous,ready,Ar-B bond BDE ~107 kcal/mol; much stronger than Ar-X halide bonds; transmetalation proceeds via boron coordination to Pd-OH not C-B homolysis
substrate:6_quinoline_boronic_acid,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,22.0,,estimated_DFT,B,continuous,ready,B(OH)3 pKa in DMSO ~22 (much higher than in water 8.86); boronic acids are weak Lewis acids in aprotic solvents
substrate:6_quinoline_boronic_acid,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,0,,periodic_table_builtin,A,ordinal_semichemical,ready,Nucleophilic boron partner; OA not applicable to boronic acids in Suzuki cycle; score=0 by convention
