entity_key,pool,descriptor_name,value,unit,source_id,source_tier,scale_type,curation_status,notes
element:Ce,element_oxide_physchem,atomic_number,58,,periodic_table_builtin,A,integer_count,ready,
element:Ce,element_oxide_physchem,atomic_weight,140.116,g/mol,periodic_table_builtin,A,continuous,ready,IUPAC 2021
element:Ce,element_oxide_physchem,period,6,,periodic_table_builtin,A,integer_state,ready,Lanthanide; formally period 6 group 3
element:Ce,element_oxide_physchem,group,3,,periodic_table_builtin,A,integer_state,ready,
element:Ce,element_oxide_physchem,pauling_electronegativity,1.12,,periodic_table_builtin,A,continuous,ready,Pauling scale; lanthanide EN values are approximate
element:Ce,element_oxide_physchem,first_ionization_energy_eV,5.539,eV,NIST_webbook,A,continuous,ready,
element:Ce,element_oxide_physchem,electron_affinity_eV,0.628,eV,NIST_webbook,A,continuous,ready,
element:Ce,element_oxide_physchem,covalent_radius_A,2.04,A,Cordero_2008,A,continuous,ready,
element:Ce,element_oxide_physchem,common_oxidation_state,4,,periodic_table_builtin,A,integer_state,ready,CeO2 is the catalytically relevant form; Ce3+/Ce4+ redox active in OCM
element:Ce,element_oxide_physchem,d_electron_count_common_oxide,0,,periodic_table_builtin,A,integer_count,ready,Ce4+ is [Xe] f0d0; 4f electrons not counted as d-electrons
element:Ce,element_oxide_physchem,ionic_radius_shannon_common_ox_cn6_A,0.87,A,Shannon_1976,A,continuous,ready,Ce4+ CN6
element:Ce,element_oxide_physchem,oxide_formation_enthalpy_kJ_mol_O,-545.2,kJ/mol O,NIST_webbook,A,continuous,ready,CeO2: delta_Hf=-1090.4 kJ/mol divided by 2 oxygen atoms
element:Ce,element_oxide_physchem,standard_reduction_potential_V,-1.72,V,CRC_97,A,continuous,ready,Ce3+/Ce couple vs NHE
element:Ce,element_oxide_physchem,oxide_band_gap_eV,3.0,eV,Trovarelli_2002,A,continuous,ready,CeO2 band gap; relevant for redox and photo-activation
