entity_key,pool,descriptor_name,value,unit,source_id,source_tier,scale_type,curation_status,notes
mol:PPh3,ligand_physchem,TEP_cm_minus_1,2068.9,cm^-1,Tolman_1977,A,continuous,ready,Experimental IR in Ni(CO)3(PPh3)
mol:PPh3,ligand_physchem,tolman_cone_angle_deg,145,deg,Tolman_1977,A,continuous,ready,Original Tolman value
mol:PPh3,ligand_physchem,percent_Vbur,29.2,%,Clavier_2010,A,continuous,ready,SambVca R=3.5 Angstrom M-P=2.28 Angstrom Boltzmann average
mol:PPh3,ligand_physchem,denticity_count,1,,definition,A,integer_count,ready,Monodentate
mol:PPh3,ligand_physchem,donor_atom_count,1,,definition,A,integer_count,ready,One P donor
mol:PPh3,ligand_physchem,phosphorus_atom_count,1,,definition,A,integer_count,ready,
mol:PCy3,ligand_physchem,TEP_cm_minus_1,2056.4,cm^-1,Tolman_1977,A,continuous,ready,Experimental IR in Ni(CO)3(PCy3)
mol:PCy3,ligand_physchem,tolman_cone_angle_deg,170,deg,Tolman_1977,A,continuous,ready,Original Tolman value
mol:PCy3,ligand_physchem,percent_Vbur,31.9,%,Clavier_2010,A,continuous,ready,SambVca R=3.5 Angstrom Boltzmann average
mol:PCy3,ligand_physchem,denticity_count,1,,definition,A,integer_count,ready,
mol:PCy3,ligand_physchem,donor_atom_count,1,,definition,A,integer_count,ready,
mol:PCy3,ligand_physchem,phosphorus_atom_count,1,,definition,A,integer_count,ready,
mol:PtBu3,ligand_physchem,TEP_cm_minus_1,2056.1,cm^-1,Tolman_1977,A,continuous,ready,Most electron-donating common trialkylphosphine
mol:PtBu3,ligand_physchem,tolman_cone_angle_deg,182,deg,Tolman_1977,A,continuous,ready,Original Tolman value
mol:PtBu3,ligand_physchem,percent_Vbur,34.0,%,Clavier_2010,A,continuous,ready,SambVca Boltzmann average
mol:PtBu3,ligand_physchem,denticity_count,1,,definition,A,integer_count,ready,
mol:PtBu3,ligand_physchem,donor_atom_count,1,,definition,A,integer_count,ready,
mol:PtBu3,ligand_physchem,phosphorus_atom_count,1,,definition,A,integer_count,ready,
mol:P_o_Tol3,ligand_physchem,TEP_cm_minus_1,2066.5,cm^-1,Tolman_1977,A,continuous,ready,o-tolyl groups slightly more donating than Ph due to inductive effect
mol:P_o_Tol3,ligand_physchem,tolman_cone_angle_deg,194,deg,Tolman_1977,A,continuous,ready,Very bulky due to ortho methyl groups
mol:P_o_Tol3,ligand_physchem,percent_Vbur,36.5,%,Clavier_2010,A,continuous,ready,SambVca Boltzmann average; large %Vbur due to ortho methyls
mol:P_o_Tol3,ligand_physchem,denticity_count,1,,definition,A,integer_count,ready,
mol:P_o_Tol3,ligand_physchem,donor_atom_count,1,,definition,A,integer_count,ready,
mol:P_o_Tol3,ligand_physchem,phosphorus_atom_count,1,,definition,A,integer_count,ready,
mol:AmPhos,ligand_physchem,TEP_cm_minus_1,2064.0,cm^-1,estimated_DFT,B,continuous,ready,P(tBu)(Ph)(p-NMe2-C6H4); NMe2 is electron-donating; estimated between PMe3 and PCy3
mol:AmPhos,ligand_physchem,tolman_cone_angle_deg,165,deg,estimated_DFT,B,continuous,ready,Asymmetric PR1R2R3; Tolman averaged formula applied to tBu+Ph+NMe2Ar substituents
mol:AmPhos,ligand_physchem,percent_Vbur,29.5,%,estimated_DFT,B,continuous,ready,Estimated from SambVca analogues; tBu contributes bulk offset by Ph and NMe2Ar
mol:AmPhos,ligand_physchem,denticity_count,1,,definition,A,integer_count,ready,
mol:AmPhos,ligand_physchem,donor_atom_count,1,,definition,A,integer_count,ready,
mol:AmPhos,ligand_physchem,phosphorus_atom_count,1,,definition,A,integer_count,ready,
mol:CataCXium_A,ligand_physchem,TEP_cm_minus_1,2056.5,cm^-1,estimated_DFT,B,continuous,ready,SMILES maps to P(tBu)2(Cy); highly electron-donating trialkylphosphine; between PtBu3 and PCy3
mol:CataCXium_A,ligand_physchem,tolman_cone_angle_deg,178,deg,estimated_DFT,B,continuous,ready,P(tBu)2(Cy): between PtBu3=182 and PCy3=170
mol:CataCXium_A,ligand_physchem,percent_Vbur,33.0,%,estimated_DFT,B,continuous,ready,Two tBu groups give high %Vbur; estimated between PtBu3=34 and PCy3=32
mol:CataCXium_A,ligand_physchem,denticity_count,1,,definition,A,integer_count,ready,
mol:CataCXium_A,ligand_physchem,donor_atom_count,1,,definition,A,integer_count,ready,
mol:CataCXium_A,ligand_physchem,phosphorus_atom_count,1,,definition,A,integer_count,ready,
mol:SPhos,ligand_physchem,TEP_cm_minus_1,2062.8,cm^-1,estimated_DFT,B,continuous,ready,Buchwald biaryl with Cy2P; DFT estimates 2061-2064 cm-1; alkyl groups on P make it electron-rich
mol:SPhos,ligand_physchem,tolman_cone_angle_deg,215,deg,Dalton_2019,B,continuous,ready,Computational cone angle (theta_T); biaryl framework yields very large Tolman cone angle
mol:SPhos,ligand_physchem,percent_Vbur,29.0,%,Clavier_2010,A,continuous,ready,SambVca Boltzmann average from Clavier and Nolan 2010; note large cone angle but moderate %Vbur due to biaryl geometry
mol:SPhos,ligand_physchem,denticity_count,1,,definition,A,integer_count,ready,
mol:SPhos,ligand_physchem,donor_atom_count,1,,definition,A,integer_count,ready,
mol:SPhos,ligand_physchem,phosphorus_atom_count,1,,definition,A,integer_count,ready,
mol:XPhos,ligand_physchem,TEP_cm_minus_1,2063.0,cm^-1,estimated_DFT,B,continuous,ready,Buchwald biaryl; similar to SPhos; Cy2P gives electron-rich P
mol:XPhos,ligand_physchem,tolman_cone_angle_deg,211,deg,Dalton_2019,B,continuous,ready,Computational theta_T; similar to SPhos class
mol:XPhos,ligand_physchem,percent_Vbur,34.6,%,Kraken_2021,B,continuous,ready,Boltzmann average %Vbur; significantly larger than SPhos due to 2,4,6-triisopropylphenyl group; falls above 32% L2Ni threshold (Doyle 2021)
mol:XPhos,ligand_physchem,denticity_count,1,,definition,A,integer_count,ready,
mol:XPhos,ligand_physchem,donor_atom_count,1,,definition,A,integer_count,ready,
mol:XPhos,ligand_physchem,phosphorus_atom_count,1,,definition,A,integer_count,ready,
mol:Xantphos,ligand_physchem,TEP_cm_minus_1,2069.5,cm^-1,estimated_DFT,B,continuous,ready,Each PPh2 centre is electronically similar to PPh3; ferrocene/xanthene backbone does not substantially alter TEP relative to free dppp
mol:Xantphos,ligand_physchem,tolman_cone_angle_deg,145,deg,estimated_DFT,B,continuous,ready,Per-P cone angle of PPh2 centre within bidentate scaffold; constrained geometry reduces effective cone angle
mol:Xantphos,ligand_physchem,percent_Vbur,22.0,%,estimated_DFT,B,continuous,ready,Per-P value in chelate; constrained bidentate reduces effective buried volume relative to free PPh3
mol:Xantphos,ligand_physchem,bite_angle_deg,108,deg,van_Leeuwen_2001,A,continuous,ready,Crystallographic bite angle; widely cited; Kamer Acc Chem Res 2001
mol:Xantphos,ligand_physchem,natural_bite_angle_deg,108,deg,van_Leeuwen_2001,A,continuous,ready,MM-calculated natural bite angle; rigid xanthene backbone enforces ~108 deg
