entity_key,pool,descriptor_name,value,unit,source_id,source_tier,scale_type,curation_status,notes
mol:DMA,solvent_physchem,dielectric_constant_25C,37.78,,CRC_97,A,continuous,ready,N,N-dimethylacetamide
mol:DMA,solvent_physchem,dipole_moment_D,3.72,D,CRC_97,A,continuous,ready,
mol:DMA,solvent_physchem,donor_number_kcal_mol,27.8,kcal/mol,Gutmann_1978,A,continuous,ready,
mol:DMA,solvent_physchem,acceptor_number,13.6,,Gutmann_1978,A,continuous,ready,
mol:DMA,solvent_physchem,ET30_kcal_mol,42.9,kcal/mol,Reichardt_2011,A,continuous,ready,
mol:DMA,solvent_physchem,normalized_Reichardt_ETN,0.377,,Reichardt_2011,A,continuous,ready,
mol:DMA,solvent_physchem,boiling_point_C,165.0,C,CRC_97,A,continuous,ready,
mol:DMA,solvent_physchem,density_g_mL_20C,0.937,g/mL,CRC_97,A,continuous,ready,
mol:DMA,solvent_physchem,viscosity_cP_25C,0.945,cP,CRC_97,A,continuous,ready,
mol:toluene,solvent_physchem,dielectric_constant_25C,2.38,,CRC_97,A,continuous,ready,
mol:toluene,solvent_physchem,dipole_moment_D,0.36,D,CRC_97,A,continuous,ready,
mol:toluene,solvent_physchem,donor_number_kcal_mol,0.1,kcal/mol,Gutmann_1978,A,continuous,ready,
mol:toluene,solvent_physchem,acceptor_number,8.2,,Gutmann_1978,A,continuous,ready,
mol:toluene,solvent_physchem,ET30_kcal_mol,33.9,kcal/mol,Reichardt_2011,A,continuous,ready,
mol:toluene,solvent_physchem,normalized_Reichardt_ETN,0.099,,Reichardt_2011,A,continuous,ready,
mol:toluene,solvent_physchem,boiling_point_C,110.6,C,CRC_97,A,continuous,ready,
mol:toluene,solvent_physchem,density_g_mL_20C,0.867,g/mL,CRC_97,A,continuous,ready,
mol:toluene,solvent_physchem,viscosity_cP_25C,0.560,cP,CRC_97,A,continuous,ready,
mol:BuCN,solvent_physchem,dielectric_constant_25C,24.83,,CRC_97,A,continuous,ready,butyronitrile
mol:BuCN,solvent_physchem,dipole_moment_D,3.90,D,CRC_97,A,continuous,ready,
mol:BuCN,solvent_physchem,donor_number_kcal_mol,16.6,kcal/mol,Gutmann_1978,A,continuous,ready,
mol:BuCN,solvent_physchem,acceptor_number,15.5,,Gutmann_1978,A,continuous,ready,
mol:BuCN,solvent_physchem,ET30_kcal_mol,36.6,kcal/mol,Reichardt_2011,A,continuous,ready,
mol:BuCN,solvent_physchem,normalized_Reichardt_ETN,0.182,,Reichardt_2011,A,continuous,ready,
mol:BuCN,solvent_physchem,boiling_point_C,117.6,C,CRC_97,A,continuous,ready,
mol:BuCN,solvent_physchem,density_g_mL_20C,0.794,g/mL,CRC_97,A,continuous,ready,
mol:BuCN,solvent_physchem,viscosity_cP_25C,0.553,cP,CRC_97,A,continuous,ready,
mol:BuOAc,solvent_physchem,dielectric_constant_25C,5.07,,CRC_97,A,continuous,ready,butyl acetate
mol:BuOAc,solvent_physchem,dipole_moment_D,1.87,D,CRC_97,A,continuous,ready,
mol:BuOAc,solvent_physchem,donor_number_kcal_mol,17.0,kcal/mol,Gutmann_1978,A,continuous,ready,
mol:BuOAc,solvent_physchem,acceptor_number,10.7,,Gutmann_1978,A,continuous,ready,
mol:BuOAc,solvent_physchem,ET30_kcal_mol,38.5,kcal/mol,Reichardt_2011,A,continuous,ready,
mol:BuOAc,solvent_physchem,normalized_Reichardt_ETN,0.241,,Reichardt_2011,A,continuous,ready,
mol:BuOAc,solvent_physchem,boiling_point_C,126.1,C,CRC_97,A,continuous,ready,
mol:BuOAc,solvent_physchem,density_g_mL_20C,0.882,g/mL,CRC_97,A,continuous,ready,
mol:BuOAc,solvent_physchem,viscosity_cP_25C,0.732,cP,CRC_97,A,continuous,ready,
mol:DMF,solvent_physchem,dielectric_constant_25C,36.71,,CRC_97,A,continuous,ready,
mol:DMF,solvent_physchem,dipole_moment_D,3.86,D,CRC_97,A,continuous,ready,
mol:DMF,solvent_physchem,donor_number_kcal_mol,26.6,kcal/mol,Gutmann_1978,A,continuous,ready,
mol:DMF,solvent_physchem,acceptor_number,16.0,,Gutmann_1978,A,continuous,ready,
mol:DMF,solvent_physchem,ET30_kcal_mol,43.2,kcal/mol,Reichardt_2011,A,continuous,ready,
mol:DMF,solvent_physchem,normalized_Reichardt_ETN,0.386,,Reichardt_2011,A,continuous,ready,
mol:DMF,solvent_physchem,boiling_point_C,153.0,C,CRC_97,A,continuous,ready,
mol:DMF,solvent_physchem,density_g_mL_20C,0.944,g/mL,CRC_97,A,continuous,ready,
mol:DMF,solvent_physchem,viscosity_cP_25C,0.802,cP,CRC_97,A,continuous,ready,
mol:DMF,solvent_physchem,water_volume_fraction,0.0,,mixture_estimated_9_1,A,continuous,ready,pure solvent baseline
mol:MeCN,solvent_physchem,dielectric_constant_25C,36.64,,CRC_97,A,continuous,ready,
mol:MeCN,solvent_physchem,dipole_moment_D,3.92,D,CRC_97,A,continuous,ready,
mol:MeCN,solvent_physchem,donor_number_kcal_mol,14.1,kcal/mol,Gutmann_1978,A,continuous,ready,
mol:MeCN,solvent_physchem,acceptor_number,18.9,,Gutmann_1978,A,continuous,ready,
mol:MeCN,solvent_physchem,ET30_kcal_mol,45.6,kcal/mol,Reichardt_2011,A,continuous,ready,
mol:MeCN,solvent_physchem,normalized_Reichardt_ETN,0.460,,Reichardt_2011,A,continuous,ready,
mol:MeCN,solvent_physchem,boiling_point_C,81.6,C,CRC_97,A,continuous,ready,
mol:MeCN,solvent_physchem,density_g_mL_20C,0.786,g/mL,CRC_97,A,continuous,ready,
mol:MeCN,solvent_physchem,viscosity_cP_25C,0.341,cP,CRC_97,A,continuous,ready,
mol:MeCN,solvent_physchem,water_volume_fraction,0.0,,mixture_estimated_9_1,A,continuous,ready,pure solvent baseline
mol:MeOH,solvent_physchem,dielectric_constant_25C,32.70,,CRC_97,A,continuous,ready,
mol:MeOH,solvent_physchem,dipole_moment_D,1.70,D,CRC_97,A,continuous,ready,
mol:MeOH,solvent_physchem,donor_number_kcal_mol,19.0,kcal/mol,Gutmann_1978,A,continuous,ready,
mol:MeOH,solvent_physchem,acceptor_number,41.3,,Gutmann_1978,A,continuous,ready,
mol:MeOH,solvent_physchem,ET30_kcal_mol,55.4,kcal/mol,Reichardt_2011,A,continuous,ready,
mol:MeOH,solvent_physchem,normalized_Reichardt_ETN,0.762,,Reichardt_2011,A,continuous,ready,
mol:MeOH,solvent_physchem,boiling_point_C,64.7,C,CRC_97,A,continuous,ready,
mol:MeOH,solvent_physchem,density_g_mL_20C,0.791,g/mL,CRC_97,A,continuous,ready,
mol:MeOH,solvent_physchem,viscosity_cP_25C,0.544,cP,CRC_97,A,continuous,ready,
mol:MeOH,solvent_physchem,water_volume_fraction,0.0,,mixture_estimated_9_1,A,continuous,ready,pure solvent baseline
mol:MeOH_H2O_9_1,rdkit_2d,MolWt,30.64,g/mol,mixture_estimated_9_1,B,continuous,ready,0.9*MeOH + 0.1*H2O component-weighted molecular weight
mol:MeOH_H2O_9_1,rdkit_2d,MolLogP,-0.435,,mixture_estimated_9_1,B,continuous,ready,0.9*MeOH + 0.1*H2O component-weighted logP proxy
mol:MeOH_H2O_9_1,rdkit_2d,TPSA,19.95,A^2,mixture_estimated_9_1,B,continuous,ready,0.9*MeOH + 0.1*H2O component-weighted polar surface proxy
mol:MeOH_H2O_9_1,rdkit_2d,NumHAcceptors,1.0,,mixture_estimated_9_1,B,integer_count,ready,component-weighted hydrogen-bond acceptor count proxy
mol:MeOH_H2O_9_1,rdkit_2d,NumHDonors,1.0,,mixture_estimated_9_1,B,integer_count,ready,component-weighted hydrogen-bond donor count proxy
mol:MeOH_H2O_9_1,solvent_physchem,dielectric_constant_25C,37.27,,mixture_estimated_9_1,B,continuous,ready,0.9 MeOH / 0.1 H2O volume-fraction estimate
mol:MeOH_H2O_9_1,solvent_physchem,dipole_moment_D,1.72,D,mixture_estimated_9_1,B,continuous,ready,0.9 MeOH / 0.1 H2O component estimate
mol:MeOH_H2O_9_1,solvent_physchem,donor_number_kcal_mol,18.9,kcal/mol,mixture_estimated_9_1,B,continuous,ready,0.9 MeOH / 0.1 H2O component estimate
mol:MeOH_H2O_9_1,solvent_physchem,acceptor_number,42.65,,mixture_estimated_9_1,B,continuous,ready,0.9 MeOH / 0.1 H2O component estimate
mol:MeOH_H2O_9_1,solvent_physchem,ET30_kcal_mol,56.17,kcal/mol,mixture_estimated_9_1,B,continuous,ready,0.9 MeOH / 0.1 H2O component estimate
mol:MeOH_H2O_9_1,solvent_physchem,normalized_Reichardt_ETN,0.786,,mixture_estimated_9_1,B,continuous,ready,0.9 MeOH / 0.1 H2O component estimate
mol:MeOH_H2O_9_1,solvent_physchem,boiling_point_C,64.7,C,mixture_estimated_9_1,B,continuous,ready,methanol-rich mixture benchmark proxy
mol:MeOH_H2O_9_1,solvent_physchem,density_g_mL_20C,0.812,g/mL,mixture_estimated_9_1,B,continuous,ready,0.9 MeOH / 0.1 H2O volume-fraction estimate
mol:MeOH_H2O_9_1,solvent_physchem,viscosity_cP_25C,0.58,cP,mixture_estimated_9_1,B,continuous,ready,methanol-rich mixture benchmark proxy
mol:MeOH_H2O_9_1,solvent_physchem,water_volume_fraction,0.10,,mixture_estimated_9_1,A,continuous,ready,explicit 9:1 MeOH/H2O mixture label
mol:THF,solvent_physchem,dielectric_constant_25C,7.52,,CRC_97,A,continuous,ready,
mol:THF,solvent_physchem,dipole_moment_D,1.75,D,CRC_97,A,continuous,ready,
mol:THF,solvent_physchem,donor_number_kcal_mol,20.0,kcal/mol,Gutmann_1978,A,continuous,ready,
mol:THF,solvent_physchem,acceptor_number,8.0,,Gutmann_1978,A,continuous,ready,
mol:THF,solvent_physchem,ET30_kcal_mol,37.4,kcal/mol,Reichardt_2011,A,continuous,ready,
mol:THF,solvent_physchem,normalized_Reichardt_ETN,0.207,,Reichardt_2011,A,continuous,ready,
mol:THF,solvent_physchem,boiling_point_C,66.0,C,CRC_97,A,continuous,ready,
mol:THF,solvent_physchem,density_g_mL_20C,0.889,g/mL,CRC_97,A,continuous,ready,
mol:THF,solvent_physchem,viscosity_cP_25C,0.480,cP,CRC_97,A,continuous,ready,
mol:THF,solvent_physchem,water_volume_fraction,0.0,,mixture_estimated_9_1,A,continuous,ready,pure solvent baseline
