entity_key,pool,descriptor_name,value,unit,source_id,source_tier,scale_type,curation_status,notes
support:Al2O3,support_material_physchem,point_of_zero_charge_pH,8.5,pH,Kosmulski_2009,A,continuous,ready,alpha-alumina
support:Al2O3,support_material_physchem,band_gap_eV,8.8,eV,Robertson_2004,A,continuous,ready,
support:BEA,support_material_physchem,point_of_zero_charge_pH,3.5,pH,Kosmulski_2009,B,continuous,ready,BEA zeolite typical Si/Al
support:BEA,support_material_physchem,band_gap_eV,7.0,eV,estimated_from_SiO2_Al2O3,B,continuous,ready,aluminosilicate
support:BN,support_material_physchem,point_of_zero_charge_pH,7.0,pH,Kosmulski_2009,B,continuous,ready,hexagonal BN approximate
support:BN,support_material_physchem,band_gap_eV,6.0,eV,Cassabois_2016,A,continuous,ready,h-BN
support:CeO2,support_material_physchem,point_of_zero_charge_pH,6.75,pH,Kosmulski_2009,A,continuous,ready,
support:CeO2,support_material_physchem,band_gap_eV,3.2,eV,Trovarelli_2002,A,continuous,ready,
support:MgO,support_material_physchem,point_of_zero_charge_pH,12.4,pH,Kosmulski_2009,A,continuous,ready,
support:MgO,support_material_physchem,band_gap_eV,7.8,eV,Schleife_2006,A,continuous,ready,
support:Nb2O5,support_material_physchem,point_of_zero_charge_pH,3.5,pH,Kosmulski_2009,A,continuous,ready,
support:Nb2O5,support_material_physchem,band_gap_eV,3.4,eV,Nico_2016,A,continuous,ready,
support:SiC,support_material_physchem,point_of_zero_charge_pH,3.0,pH,Kosmulski_2009,B,continuous,ready,3C-SiC
support:SiC,support_material_physchem,band_gap_eV,2.36,eV,Levinshtein_2001,A,continuous,ready,3C-SiC
support:SiCnf,support_material_physchem,point_of_zero_charge_pH,4.5,pH,estimated_nanofiber,B,continuous,ready,surface oxidation raises PZC
support:SiCnf,support_material_physchem,band_gap_eV,2.36,eV,Levinshtein_2001,A,continuous,ready,same bulk bandgap as SiC
support:SiO2,support_material_physchem,point_of_zero_charge_pH,2.0,pH,Kosmulski_2009,A,continuous,ready,amorphous silica
support:SiO2,support_material_physchem,band_gap_eV,9.0,eV,Robertson_2004,A,continuous,ready,
support:TiO2,support_material_physchem,point_of_zero_charge_pH,6.0,pH,Kosmulski_2009,A,continuous,ready,rutile/anatase average
support:TiO2,support_material_physchem,band_gap_eV,3.2,eV,Scanlon_2013,A,continuous,ready,rutile
support:ZSM5,support_material_physchem,point_of_zero_charge_pH,3.0,pH,Kosmulski_2009,B,continuous,ready,ZSM-5 high Si/Al
support:ZSM5,support_material_physchem,band_gap_eV,7.5,eV,estimated_from_SiO2,B,continuous,ready,
support:ZrO2,support_material_physchem,point_of_zero_charge_pH,6.7,pH,Kosmulski_2009,A,continuous,ready,monoclinic
support:ZrO2,support_material_physchem,band_gap_eV,5.0,eV,French_1994,A,continuous,ready,
support:Al2O3,support_material_physchem,formula_weight_g_mol_formula_unit,101.964,g/mol,formula_programmatic,A,continuous,ready,Computed from formula unit composition
support:Al2O3,support_material_physchem,mean_atomic_number,10.0,,formula_programmatic,A,continuous,ready,Formula-weighted mean atomic number
support:Al2O3,support_material_physchem,mean_atomic_weight,20.393,g/mol,formula_programmatic,A,continuous,ready,Formula-weighted mean atomic weight
support:Al2O3,support_material_physchem,mean_pauling_electronegativity,2.708,,formula_programmatic,A,continuous,ready,Formula-weighted mean Pauling EN from periodic_table_builtin values
support:Al2O3,support_material_physchem,std_pauling_electronegativity,0.8965,,formula_programmatic,A,continuous,ready,Population std dev of Pauling EN across formula unit atoms; captures ionicity
support:Al2O3,support_material_physchem,oxygen_atomic_fraction,0.6,,formula_programmatic,A,continuous,ready,Fraction of formula unit atoms that are oxygen
support:Al2O3,support_material_physchem,metal_atomic_fraction,0.4,,formula_programmatic,A,continuous,ready,Fraction of formula unit atoms on cation side (non-O non-N)
support:Al2O3,support_material_physchem,oxygen_to_metal_ratio,1.5,,formula_programmatic,A,continuous,ready,O:cation atom ratio; encodes oxidation state and coordination geometry
support:Al2O3,support_material_physchem,thermal_conductivity_W_mK,30.0,W/m/K,CRC_97,B,continuous,ready,Bulk polycrystalline reference value; actual pellet TC may be 5-50x lower
support:BEA,support_material_physchem,formula_weight_g_mol_formula_unit,1920.544,g/mol,formula_programmatic,A,continuous,ready,Computed from formula unit composition
support:BEA,support_material_physchem,mean_atomic_number,9.979,,formula_programmatic,A,continuous,ready,Formula-weighted mean atomic number
support:BEA,support_material_physchem,mean_atomic_weight,20.006,g/mol,formula_programmatic,A,continuous,ready,Formula-weighted mean atomic weight
support:BEA,support_material_physchem,mean_pauling_electronegativity,2.9206,,formula_programmatic,A,continuous,ready,Formula-weighted mean Pauling EN from periodic_table_builtin values
support:BEA,support_material_physchem,std_pauling_electronegativity,0.7356,,formula_programmatic,A,continuous,ready,Population std dev of Pauling EN across formula unit atoms; captures ionicity
support:BEA,support_material_physchem,oxygen_atomic_fraction,0.6667,,formula_programmatic,A,continuous,ready,Fraction of formula unit atoms that are oxygen
support:BEA,support_material_physchem,metal_atomic_fraction,0.3333,,formula_programmatic,A,continuous,ready,Fraction of formula unit atoms on cation side (non-O non-N)
support:BEA,support_material_physchem,oxygen_to_metal_ratio,2.0,,formula_programmatic,A,continuous,ready,O:cation atom ratio; encodes oxidation state and coordination geometry
support:BEA,support_material_physchem,thermal_conductivity_W_mK,1.0,W/m/K,CRC_97,B,continuous,ready,Bulk polycrystalline reference value; actual pellet TC may be 5-50x lower
support:BN,support_material_physchem,formula_weight_g_mol_formula_unit,24.818,g/mol,formula_programmatic,A,continuous,ready,Computed from formula unit composition
support:BN,support_material_physchem,mean_atomic_number,6.0,,formula_programmatic,A,continuous,ready,Formula-weighted mean atomic number
support:BN,support_material_physchem,mean_atomic_weight,12.409,g/mol,formula_programmatic,A,continuous,ready,Formula-weighted mean atomic weight
support:BN,support_material_physchem,mean_pauling_electronegativity,2.54,,formula_programmatic,A,continuous,ready,Formula-weighted mean Pauling EN from periodic_table_builtin values
support:BN,support_material_physchem,std_pauling_electronegativity,0.5,,formula_programmatic,A,continuous,ready,Population std dev of Pauling EN across formula unit atoms; captures ionicity
support:BN,support_material_physchem,oxygen_atomic_fraction,0.0,,formula_programmatic,A,continuous,ready,Fraction of formula unit atoms that are oxygen
support:BN,support_material_physchem,metal_atomic_fraction,0.5,,formula_programmatic,A,continuous,ready,Fraction of formula unit atoms on cation side (non-O non-N)
support:BN,support_material_physchem,oxygen_to_metal_ratio,0.0,,formula_programmatic,A,continuous,ready,O:cation atom ratio; encodes oxidation state and coordination geometry
support:BN,support_material_physchem,thermal_conductivity_W_mK,25.0,W/m/K,CRC_97,B,continuous,ready,Bulk polycrystalline reference value; actual pellet TC may be 5-50x lower
support:CeO2,support_material_physchem,formula_weight_g_mol_formula_unit,172.116,g/mol,formula_programmatic,A,continuous,ready,Computed from formula unit composition
support:CeO2,support_material_physchem,mean_atomic_number,24.667,,formula_programmatic,A,continuous,ready,Formula-weighted mean atomic number
support:CeO2,support_material_physchem,mean_atomic_weight,57.372,g/mol,formula_programmatic,A,continuous,ready,Formula-weighted mean atomic weight
support:CeO2,support_material_physchem,mean_pauling_electronegativity,2.6667,,formula_programmatic,A,continuous,ready,Formula-weighted mean Pauling EN from periodic_table_builtin values
support:CeO2,support_material_physchem,std_pauling_electronegativity,1.0937,,formula_programmatic,A,continuous,ready,Population std dev of Pauling EN across formula unit atoms; captures ionicity
support:CeO2,support_material_physchem,oxygen_atomic_fraction,0.6667,,formula_programmatic,A,continuous,ready,Fraction of formula unit atoms that are oxygen
support:CeO2,support_material_physchem,metal_atomic_fraction,0.3333,,formula_programmatic,A,continuous,ready,Fraction of formula unit atoms on cation side (non-O non-N)
support:CeO2,support_material_physchem,oxygen_to_metal_ratio,2.0,,formula_programmatic,A,continuous,ready,O:cation atom ratio; encodes oxidation state and coordination geometry
support:CeO2,support_material_physchem,thermal_conductivity_W_mK,12.0,W/m/K,CRC_97,B,continuous,ready,Bulk polycrystalline reference value; actual pellet TC may be 5-50x lower
support:MgO,support_material_physchem,formula_weight_g_mol_formula_unit,40.305,g/mol,formula_programmatic,A,continuous,ready,Computed from formula unit composition
support:MgO,support_material_physchem,mean_atomic_number,10.0,,formula_programmatic,A,continuous,ready,Formula-weighted mean atomic number
