experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
1,fingerprint_concat,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",5.47,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
2,fingerprint_concat,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CCCCOC(C)=O, concentration=0.1, temperature=90}",0,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
3,fingerprint_concat,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=120}",0,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
4,fingerprint_concat,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.1, temperature=120}",4.48,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
5,fingerprint_concat,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=120}",38.48,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
6,fingerprint_concat,2,af_review,5,6,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=120}",48.15,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
7,fingerprint_concat,2,af_review,6,7,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",29.16,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
8,fingerprint_concat,2,af_review,7,8,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=120}",80.61,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
9,fingerprint_concat,2,af_review,8,9,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=120}",62.07,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
10,fingerprint_concat,2,af_review,9,10,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=90}",55.17,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
