experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
1,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",5.47,"Log Expected Improvement selected as default stable acquisition for single-objective BO in exploration phase. With budget=40 and no current best, LogEI provides numerically stable improvement-based selection without requiring beta tuning. [KB: af_selector: 'Default acquisition unless another strategy is clearly better justified.'] Alternative UCB with elevated beta was considered for early exploration but LogEI's stability and automatic balance of exploration-exploitation is preferred for initial campaign phase. [HYPOTHESIS:H1-H5: Active hypotheses about electronic matching, sterics, solvent, temperature-solvent synergy, and catalyst effects will be tested through diverse exploration; LogEI supports this without manual parameter tuning.]",Default Matern-5/2 kernel selected as safe general-purpose baseline for encoded categorical space. The one-hot embedding (dim=26) with 40 budget observations falls within the strong low-data regime where Matern-5/2 provides calibrated uncertainty without overfitting. [RULE:R1: Prefer conservative baselines when uncertain] [KB: surrogate_model_selector: 'Use as default when unsure. Safe first kernel for most campaigns.']
2,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CCCC#N, concentration=0.057, temperature=90}",0,"Log Expected Improvement selected as default stable acquisition for single-objective BO in exploration phase. With budget=40 and no current best, LogEI provides numerically stable improvement-based selection without requiring beta tuning. [KB: af_selector: 'Default acquisition unless another strategy is clearly better justified.'] Alternative UCB with elevated beta was considered for early exploration but LogEI's stability and automatic balance of exploration-exploitation is preferred for initial campaign phase. [HYPOTHESIS:H1-H5: Active hypotheses about electronic matching, sterics, solvent, temperature-solvent synergy, and catalyst effects will be tested through diverse exploration; LogEI supports this without manual parameter tuning.]",Default Matern-5/2 kernel selected as safe general-purpose baseline for encoded categorical space. The one-hot embedding (dim=26) with 40 budget observations falls within the strong low-data regime where Matern-5/2 provides calibrated uncertainty without overfitting. [RULE:R1: Prefer conservative baselines when uncertain] [KB: surrogate_model_selector: 'Use as default when unsure. Safe first kernel for most campaigns.']
3,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=120}",0,"Log Expected Improvement selected as default stable acquisition for single-objective BO in exploration phase. With budget=40 and no current best, LogEI provides numerically stable improvement-based selection without requiring beta tuning. [KB: af_selector: 'Default acquisition unless another strategy is clearly better justified.'] Alternative UCB with elevated beta was considered for early exploration but LogEI's stability and automatic balance of exploration-exploitation is preferred for initial campaign phase. [HYPOTHESIS:H1-H5: Active hypotheses about electronic matching, sterics, solvent, temperature-solvent synergy, and catalyst effects will be tested through diverse exploration; LogEI supports this without manual parameter tuning.]",Default Matern-5/2 kernel selected as safe general-purpose baseline for encoded categorical space. The one-hot embedding (dim=26) with 40 budget observations falls within the strong low-data regime where Matern-5/2 provides calibrated uncertainty without overfitting. [RULE:R1: Prefer conservative baselines when uncertain] [KB: surrogate_model_selector: 'Use as default when unsure. Safe first kernel for most campaigns.']
4,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.1, temperature=120}",4.48,"Log Expected Improvement selected as default stable acquisition for single-objective BO in exploration phase. With budget=40 and no current best, LogEI provides numerically stable improvement-based selection without requiring beta tuning. [KB: af_selector: 'Default acquisition unless another strategy is clearly better justified.'] Alternative UCB with elevated beta was considered for early exploration but LogEI's stability and automatic balance of exploration-exploitation is preferred for initial campaign phase. [HYPOTHESIS:H1-H5: Active hypotheses about electronic matching, sterics, solvent, temperature-solvent synergy, and catalyst effects will be tested through diverse exploration; LogEI supports this without manual parameter tuning.]",Default Matern-5/2 kernel selected as safe general-purpose baseline for encoded categorical space. The one-hot embedding (dim=26) with 40 budget observations falls within the strong low-data regime where Matern-5/2 provides calibrated uncertainty without overfitting. [RULE:R1: Prefer conservative baselines when uncertain] [KB: surrogate_model_selector: 'Use as default when unsure. Safe first kernel for most campaigns.']
5,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=120}",38.48,"Log Expected Improvement selected as default stable acquisition for single-objective BO in exploration phase. With budget=40 and no current best, LogEI provides numerically stable improvement-based selection without requiring beta tuning. [KB: af_selector: 'Default acquisition unless another strategy is clearly better justified.'] Alternative UCB with elevated beta was considered for early exploration but LogEI's stability and automatic balance of exploration-exploitation is preferred for initial campaign phase. [HYPOTHESIS:H1-H5: Active hypotheses about electronic matching, sterics, solvent, temperature-solvent synergy, and catalyst effects will be tested through diverse exploration; LogEI supports this without manual parameter tuning.]",Default Matern-5/2 kernel selected as safe general-purpose baseline for encoded categorical space. The one-hot embedding (dim=26) with 40 budget observations falls within the strong low-data regime where Matern-5/2 provides calibrated uncertainty without overfitting. [RULE:R1: Prefer conservative baselines when uncertain] [KB: surrogate_model_selector: 'Use as default when unsure. Safe first kernel for most campaigns.']
6,one_hot,3,af_review,5,6,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=120}",48.15,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
7,one_hot,3,af_review,6,7,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=90}",22.94,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
8,one_hot,3,af_review,7,8,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=120}",48.34,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
9,one_hot,3,af_review,8,9,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=105}",40.06,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
10,one_hot,3,af_review,9,10,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CP(C)C1=CC=CC=C1, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.153, temperature=120}",0,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
