iteration,result,candidate,metadata
1,1.6,"{""base_SMILES"": ""O=C([O-])C(C)(C)C.[Cs+]"", ""ligand_SMILES"": ""CP(C1=CC=CC=C1)C2=CC=CC=C2"", ""solvent_SMILES"": ""CC1=CC=C(C)C=C1"", ""concentration"": ""0.153"", ""temperature"": ""120""}","{""dataset_path"": ""E:\\science\\BO\\LLM_BO\\ChemBO-Agent\\data\\DAR.csv"", ""dataset_target_column"": ""yield"", ""dataset_row_id"": ""1723"", ""oracle_kind"": ""dataset""}"
2,0.65,"{""base_SMILES"": ""O=C([O-])C(C)(C)C.[K+]"", ""ligand_SMILES"": ""P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3"", ""solvent_SMILES"": ""CCCCOC(C)=O"", ""concentration"": ""0.1"", ""temperature"": ""90""}","{""dataset_path"": ""E:\\science\\BO\\LLM_BO\\ChemBO-Agent\\data\\DAR.csv"", ""dataset_target_column"": ""yield"", ""dataset_row_id"": ""154"", ""oracle_kind"": ""dataset""}"
3,0.0,"{""base_SMILES"": ""O=C([O-])C.[Cs+]"", ""ligand_SMILES"": ""CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.057"", ""temperature"": ""105""}","{""dataset_path"": ""E:\\science\\BO\\LLM_BO\\ChemBO-Agent\\data\\DAR.csv"", ""dataset_target_column"": ""yield"", ""dataset_row_id"": ""397"", ""oracle_kind"": ""dataset""}"
4,8.52,"{""base_SMILES"": ""O=C([O-])C.[K+]"", ""ligand_SMILES"": ""CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3"", ""solvent_SMILES"": ""CCCC#N"", ""concentration"": ""0.057"", ""temperature"": ""120""}","{""dataset_path"": ""E:\\science\\BO\\LLM_BO\\ChemBO-Agent\\data\\DAR.csv"", ""dataset_target_column"": ""yield"", ""dataset_row_id"": ""506"", ""oracle_kind"": ""dataset""}"
5,16.44,"{""base_SMILES"": ""O=C([O-])C.[K+]"", ""ligand_SMILES"": ""CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC"", ""solvent_SMILES"": ""CC1=CC=C(C)C=C1"", ""concentration"": ""0.1"", ""temperature"": ""105""}","{""dataset_path"": ""E:\\science\\BO\\LLM_BO\\ChemBO-Agent\\data\\DAR.csv"", ""dataset_target_column"": ""yield"", ""dataset_row_id"": ""72"", ""oracle_kind"": ""dataset""}"
6,73.33,"{""base_SMILES"": ""O=C([O-])C(C)(C)C.[K+]"", ""ligand_SMILES"": ""CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C"", ""solvent_SMILES"": ""CCCC#N"", ""concentration"": ""0.153"", ""temperature"": ""105""}","{""dataset_path"": ""E:\\science\\BO\\LLM_BO\\ChemBO-Agent\\data\\DAR.csv"", ""dataset_target_column"": ""yield"", ""dataset_row_id"": ""707"", ""oracle_kind"": ""dataset""}"
7,9.14,"{""base_SMILES"": ""O=C([O-])C.[K+]"", ""ligand_SMILES"": ""CC(OC1=C(P(C2CCCCC2)C3CCCCC3)C(OC(C)C)=CC=C1)C"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.153"", ""temperature"": ""90""}","{""dataset_path"": ""E:\\science\\BO\\LLM_BO\\ChemBO-Agent\\data\\DAR.csv"", ""dataset_target_column"": ""yield"", ""dataset_row_id"": ""1442"", ""oracle_kind"": ""dataset""}"
8,65.69,"{""base_SMILES"": ""O=C([O-])C(C)(C)C.[Cs+]"", ""ligand_SMILES"": ""C[C@]1(O2)O[C@](C[C@]2(C)P3C4=CC=CC=C4)(C)O[C@]3(C)C1"", ""solvent_SMILES"": ""CCCC#N"", ""concentration"": ""0.1"", ""temperature"": ""105""}","{""dataset_path"": ""E:\\science\\BO\\LLM_BO\\ChemBO-Agent\\data\\DAR.csv"", ""dataset_target_column"": ""yield"", ""dataset_row_id"": ""1006"", ""oracle_kind"": ""dataset""}"
9,3.69,"{""base_SMILES"": ""O=C([O-])C(C)(C)C.[Cs+]"", ""ligand_SMILES"": ""P(C1CCCCC1)(C2CCCCC2)C3CCCCC3"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.1"", ""temperature"": ""90""}","{""dataset_path"": ""E:\\science\\BO\\LLM_BO\\ChemBO-Agent\\data\\DAR.csv"", ""dataset_target_column"": ""yield"", ""dataset_row_id"": ""117"", ""oracle_kind"": ""dataset""}"
10,8.31,"{""base_SMILES"": ""O=C([O-])C.[Cs+]"", ""ligand_SMILES"": ""FC(F)(F)C1=CC(P(C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C(OC)=CC=C2OC)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC(C(F)(F)F)=C1"", ""solvent_SMILES"": ""CC1=CC=C(C)C=C1"", ""concentration"": ""0.1"", ""temperature"": ""120""}","{""dataset_path"": ""E:\\science\\BO\\LLM_BO\\ChemBO-Agent\\data\\DAR.csv"", ""dataset_target_column"": ""yield"", ""dataset_row_id"": ""1143"", ""oracle_kind"": ""dataset""}"
11,29.23,"{""base_SMILES"": ""O=C([O-])C(C)(C)C.[Cs+]"", ""ligand_SMILES"": ""CC(OC1=C(P(C2CCCCC2)C3CCCCC3)C(OC(C)C)=CC=C1)C"", ""solvent_SMILES"": ""CCCC#N"", ""concentration"": ""0.057"", ""temperature"": ""90""}","{""dataset_path"": ""E:\\science\\BO\\LLM_BO\\ChemBO-Agent\\data\\DAR.csv"", ""dataset_target_column"": ""yield"", ""dataset_row_id"": ""1196"", ""oracle_kind"": ""dataset""}"
