precatalyst_SMILES,base_SMILES,base_concentration,base_equivalents,temperature,t_res,yld
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CN(C)C(=N)N(C)C,2.00,2.1,100,1625,35
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,1.01,1.0,30,79,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.41,1.5,81,629,20
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,C1CCC2=NCCCN2CC1,1.00,1.0,100,491,90
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,2.00,2.1,100,1438,90
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CN1CCCN2C1=NCCC2,1.50,1.6,100,77,90
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,0.99,1.0,100,1719,94
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN(C)C(=N)N(C)C,2.00,2.1,100,80,3
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,2.00,2.1,100,637,97
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,C1CCC2=NCCCN2CC1,2.01,2.1,100,466,90
