experiment_iteration,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
1,1,autobo_runtime,0,1,gp_indicator_matern52,,qlog_ei,gp_indicator_matern52:None:qlog_ei,"{precatalyst_SMILES=CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F, base_SMILES=CN(C)C(=N)N(C)C, base_concentration=2.00, base_equivalents=2.1, temperature=100, t_res=1625}",35,AutoBO adaptive surrogate pool (CoCaBO GP + CatBoost + Deep Ensemble) with qLogEI acquisition.,
2,1,autobo_runtime,1,2,gp_indicator_matern52,,qlog_ei,gp_indicator_matern52:None:qlog_ei,"{precatalyst_SMILES=CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C, base_SMILES=CN1CCCN2C1=NCCC2, base_concentration=1.01, base_equivalents=1.0, temperature=30, t_res=79}",1,AutoBO adaptive surrogate pool (CoCaBO GP + CatBoost + Deep Ensemble) with qLogEI acquisition.,
3,1,autobo_runtime,2,3,gp_indicator_matern52,,qlog_ei,gp_indicator_matern52:None:qlog_ei,"{precatalyst_SMILES=CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C, base_SMILES=CC(C)(C)N=C(N(C)C)N(C)C, base_concentration=1.41, base_equivalents=1.5, temperature=81, t_res=629}",20,AutoBO adaptive surrogate pool (CoCaBO GP + CatBoost + Deep Ensemble) with qLogEI acquisition.,
4,1,autobo_runtime,3,4,gp_indicator_matern52,,qlog_ei,gp_indicator_matern52:None:qlog_ei,"{precatalyst_SMILES=CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F, base_SMILES=C1CCC2=NCCCN2CC1, base_concentration=1.00, base_equivalents=1.0, temperature=100, t_res=491}",90,AutoBO adaptive surrogate pool (CoCaBO GP + CatBoost + Deep Ensemble) with qLogEI acquisition.,
5,1,autobo_runtime,4,5,gp_indicator_matern52,,qlog_ei,gp_indicator_matern52:None:qlog_ei,"{precatalyst_SMILES=CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C, base_SMILES=CC(C)(C)N=C(N(C)C)N(C)C, base_concentration=2.00, base_equivalents=2.1, temperature=100, t_res=1438}",90,AutoBO adaptive surrogate pool (CoCaBO GP + CatBoost + Deep Ensemble) with qLogEI acquisition.,
6,1,autobo_runtime,5,6,gp_indicator_matern52,,qlog_ei,gp_indicator_matern52:None:qlog_ei,"{precatalyst_SMILES=CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F, base_SMILES=CN1CCCN2C1=NCCC2, base_concentration=1.50, base_equivalents=1.6, temperature=100, t_res=77}",90,AutoBO adaptive surrogate pool (CoCaBO GP + CatBoost + Deep Ensemble) with qLogEI acquisition.,
7,1,autobo_runtime,6,7,gp_indicator_matern52,,qlog_ei,gp_indicator_matern52:None:qlog_ei,"{precatalyst_SMILES=CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C, base_SMILES=CC(C)(C)N=C(N(C)C)N(C)C, base_concentration=0.99, base_equivalents=1.0, temperature=100, t_res=1719}",94,AutoBO adaptive surrogate pool (CoCaBO GP + CatBoost + Deep Ensemble) with qLogEI acquisition.,
8,1,autobo_runtime,7,8,gp_indicator_matern52,,qlog_ei,gp_indicator_matern52:None:qlog_ei,"{precatalyst_SMILES=CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C, base_SMILES=CN(C)C(=N)N(C)C, base_concentration=2.00, base_equivalents=2.1, temperature=100, t_res=80}",3,AutoBO adaptive surrogate pool (CoCaBO GP + CatBoost + Deep Ensemble) with qLogEI acquisition.,
9,1,autobo_runtime,8,9,gp_indicator_matern52,,qlog_ei,gp_indicator_matern52:None:qlog_ei,"{precatalyst_SMILES=CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C, base_SMILES=CN1CCCN2C1=NCCC2, base_concentration=2.00, base_equivalents=2.1, temperature=100, t_res=637}",97,AutoBO adaptive surrogate pool (CoCaBO GP + CatBoost + Deep Ensemble) with qLogEI acquisition.,
10,1,autobo_runtime,9,10,gp_indicator_matern52,,qlog_ei,gp_indicator_matern52:None:qlog_ei,"{precatalyst_SMILES=CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C, base_SMILES=C1CCC2=NCCCN2CC1, base_concentration=2.01, base_equivalents=2.1, temperature=100, t_res=466}",90,AutoBO adaptive surrogate pool (CoCaBO GP + CatBoost + Deep Ensemble) with qLogEI acquisition.,
