,base_SMILES,ligand_SMILES,solvent_SMILES,concentration,temperature,yield
787,O=C([O-])C(C)(C)C.[Cs+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CC(N(C)C)=O,0.153,120,0
692,O=C([O-])C(C)(C)C.[Cs+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CC(N(C)C)=O,0.153,105,6.54
639,O=C([O-])C.[Cs+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CCCCOC(C)=O,0.153,90,0
484,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,120,45.85
1505,O=C([O-])C.[Cs+],CP(C)C1=CC=CC=C1,CCCCOC(C)=O,0.153,90,0
514,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CCCC#N,0.057,120,12.19
1441,O=C([O-])C.[K+],CP(C1=CC=CC=C1)C2=CC=CC=C2,CC(N(C)C)=O,0.153,90,3.02
307,O=C([O-])C(C)(C)C.[Cs+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CC(N(C)C)=O,0.057,90,0
388,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,105,27.82
676,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(N(C)C)=O,0.153,105,30.44
784,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(N(C)C)=O,0.153,120,78.19
490,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,120,91.27
502,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,120,84.64
202,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,120,86.46
