method,run,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
ChemBO,run01,14.24,44.16,44.16,76.34,76.34,76.34,76.34,76.34,76.34,76.34,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,98.49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ChemBO,run02,14.24,14.24,14.24,76.34,76.34,76.34,76.34,76.34,76.34,76.34,76.34,76.34,76.34,76.34,76.34,95.48,95.48,95.48,95.48,95.48,95.48,99.22,99.22,99.22,99.22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ChemBO,run03,6.23,6.23,20.21,58.4,58.4,58.4,58.4,77.41,77.41,77.41,77.41,77.41,77.41,77.41,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,96.64,96.64,96.64,96.64,96.64,96.64,96.64,96.64,96.64
Pure Reasoning,run01,36.29,42.48,42.48,42.48,68.86,70.51,70.51,70.51,70.51,70.51,76.34,76.34,76.34,76.34,76.34,76.34,76.34,76.34,76.34,77.41,77.41,77.41,77.41,77.41,77.41,77.41,77.41,77.41,77.41,77.41,77.41,77.41,77.41,82.28,82.28,82.28,82.28,82.28,82.28,82.28
Pure Reasoning,run02,7.71,30.03,30.03,30.03,30.03,77.41,77.41,77.41,77.41,77.41,77.41,77.41,77.41,77.41,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48
Pure Reasoning,run03,14.24,14.24,36.29,36.29,36.29,36.29,36.29,68.35,76.34,76.34,76.34,76.34,76.34,77.41,77.41,77.41,77.41,77.41,77.41,77.41,77.41,82.28,82.28,82.28,82.28,82.28,82.28,82.28,82.28,82.28,82.28,98.49,98.49,98.49,98.49,98.49,100.0,100.0,100.0,100.0
GoLLuM,run01,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,68.35,68.35,68.35,68.35,68.35,68.35,68.35,83.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GoLLuM,run02,64.12,64.12,64.12,64.12,64.12,64.12,64.12,64.12,64.12,64.12,64.12,64.12,64.12,64.12,64.12,64.46,73.59,73.59,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.93,78.93,83.62,83.62,83.62,83.62,83.62,83.62,83.62
GoLLuM,run03,84.17,84.17,84.17,84.17,84.17,84.17,84.17,84.17,84.17,84.17,84.17,87.83,87.83,87.83,87.83,87.83,87.83,87.83,87.83,87.83,87.83,87.83,87.83,87.83,89.17,89.17,89.17,89.17,89.17,89.17,89.17,89.17,89.17,89.17,89.17,89.17,89.17,89.17,89.17,89.17
GoLLuM,run04,71.11,71.11,71.11,71.11,71.11,71.11,71.11,71.11,71.11,71.11,71.11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GoLLuM,run05,80.38,80.38,80.38,80.38,80.38,80.38,80.38,80.38,80.38,80.38,80.38,87.0,87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
