method,run,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
ChemBO,run01,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,51.79,64.75,64.75,64.75,64.75,64.75,64.75,64.75,64.75,64.75,64.75,64.75,64.75,64.75,64.75,64.75,64.75
ChemBO,run02,13.36,13.36,22.17,22.17,22.17,24.32,24.32,24.32,24.32,24.32,24.32,24.32,24.32,24.48,45.3,51.09,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,60.16,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14
ChemBO,run03,13.89,21.22,21.22,21.22,48.68,48.68,48.68,48.68,48.68,48.68,48.68,48.68,48.68,48.68,48.68,48.68,48.68,50.0,50.02,58.73,58.73,58.73,58.73,58.73,58.73,58.73,58.73,58.73,58.73,58.73,58.73,59.64,59.64,59.64,59.64,59.64,59.64,60.23,60.23,60.23
Pure Reasoning,run01,7.96,9.39,20.68,20.68,20.68,20.68,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8
Pure Reasoning,run02,7.9,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,20.68,22.71,22.71,22.71,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11
Pure Reasoning,run03,7.96,11.18,11.67,11.67,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8
GoLLuM,run01,34.32,34.32,34.32,34.32,34.32,34.32,34.32,34.32,34.32,34.32,34.32,34.32,34.32,34.32,40.51,40.51,40.51,51.34,51.34,51.34,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43,56.43
GoLLuM,run02,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,57.36,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66,63.66
GoLLuM,run03,30.12,30.12,30.12,30.12,30.12,30.12,30.12,30.12,30.12,30.12,30.12,30.12,30.96,30.96,30.96,47.98,47.98,55.51,55.51,55.51,55.51,55.51,55.51,55.51,55.51,55.51,55.51,55.51,55.51,55.51,55.51,55.51,55.51,56.13,56.13,56.13,56.13,56.13,56.13,56.13
Reasoning BO,run01,8.09,8.6,15.78,15.78,15.78,15.78,15.78,20.68,20.68,20.68,20.68,30.47,30.47,30.47,30.47,30.47,30.47,32.18,32.18,32.18,32.18,32.18,32.18,32.18,32.18,32.18,36.33,36.33,36.33,36.84,36.84,36.84,36.84,51.42,51.42,51.42,51.42,51.42,60.71,60.71
