method,run,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
ChemBO,run01,46.08,53.92,53.92,53.92,72.71,72.71,72.71,72.71,72.71,72.71,88.09,88.09,88.09,88.09,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86,97.86
ChemBO,run02,46.08,53.92,53.92,76.92,76.92,76.92,83.9,83.9,83.9,83.9,90.21,90.21,90.21,90.21,90.21,90.21,90.21,90.21,90.21,90.21,90.21,90.21,90.21,90.21,90.21,92.33,92.33,92.33,92.33,92.33,92.33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ChemBO,run03,53.92,72.71,72.71,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,94.83,94.83,94.83,94.83,94.83,94.83,94.83,94.83,94.83,94.83,94.83,94.83,94.83,94.83,94.83,94.83,94.83,94.83
Pure Reasoning,run01,46.08,46.08,72.71,72.71,72.71,72.71,72.71,72.71,88.09,88.09,88.09,88.09,88.09,88.09,88.09,88.09,88.09,92.61,92.61,92.61,94.67,94.67,94.67,94.67,94.67,94.67,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74
Pure Reasoning,run02,23.22,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25
Pure Reasoning,run03,46.08,53.92,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,86.53,90.34,90.34,90.34,90.34,90.34,90.34,90.34,90.34,90.34,93.67,93.67,93.67,93.67
GoLLuM,run01,87.89,87.89,87.89,87.89,87.89,87.89,87.89,87.89,87.89,87.89,87.89,87.89,92.01,95.65,95.65,95.65,95.65,95.65,95.65,96.38,96.38,96.38,96.38,96.38,96.38,96.38,96.38,96.38,96.38,96.38,96.57,96.57,96.57,96.57,96.57,96.57,96.57,96.57,96.57,96.57
GoLLuM,run02,75.42,75.42,75.42,75.42,75.42,75.42,75.42,75.42,75.42,75.42,75.42,75.42,75.42,75.42,75.42,75.42,76.46,76.46,91.29,91.29,91.29,91.29,91.29,91.29,91.29,91.29,91.29,91.29,91.29,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3
GoLLuM,run03,88.97,88.97,88.97,88.97,88.97,88.97,88.97,88.97,88.97,88.97,88.97,88.97,88.97,92.16,92.16,92.16,92.16,92.16,92.16,92.16,92.16,92.16,92.16,92.16,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85
Reasoning BO,run01,70.78,70.78,70.78,70.78,70.78,70.78,70.78,70.78,70.78,70.78,73.8,87.79,87.79,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88,94.88
Reasoning BO,run02,9.48,47.47,47.47,47.47,47.47,49.83,49.83,90.61,90.61,90.61,90.61,90.61,90.61,90.61,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,92.58,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69
Reasoning BO,run03,55.62,55.62,55.62,55.62,55.62,55.62,55.62,55.62,55.62,55.62,55.62,70.45,78.09,87.89,87.89,87.89,87.89,96.19,96.19,96.57,96.57,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61
BORA,run01,87.82,87.82,87.82,87.82,87.82,90.21,90.21,96.32,96.32,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53
BORA,run02,30.6,30.6,90.26,90.26,90.26,90.26,94.15,94.15,94.15,94.15,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,95.37,96.74,96.74
